Scientific,Common,SpeciesVal 
Bassia scoparia,Summer-cypress,1
Bellis,daisies,1
Bellis perennis,common daisy,2
Berberis,Barberries,5
Berberis thunbergii,Japanese barberry,16
Bergenia crassifolia,Elephant's-ears,2
Bessera elegans,Coral-drops,1
Beta vulgaris,Beet,1
Betula,birches,6
Betula alleghaniensis,yellow birch,1
Betula nigra,river birch,4
Betula papyrifera,paper birch,10
Betula pendula,silver birch,4
Betula populifolia,gray birch,2
Betulaceae,birch family,4
Bidens,Bur Marigolds,4
Bidens aristosa,tickseed beggar-ticks,1
Bidens cernua,Nodding Beggarticks,2
Bidens frondosa,devil's beggarticks,9
Bidens pilosa,black-jack,1
Bidens triplinervia,,1
Bistorta officinalis,common bistort,1
Boehmeria cylindrica,false nettle,5
Bolboschoenus fluviatilis,river bulrush,1
Boraginaceae,borage family,1
Borago,,2
Borago officinalis,Borage,3
Bouteloua curtipendula,sideoats grama,1
Brachytheciaceae,,3
Brassica napus,rapeseed,2
Brassica oleracea,cabbage,4
Brassicaceae,mustard family,15
Brassicales,mustards, capers, and allies,1
Brassiceae,,2
Bromus,bromes,2
Bromus hordeaceus,Common Soft-brome,1
Bromus inermis,smooth brome,15
Bromus tectorum,cheatgrass,2
Brunnera,,2
Brunnera macrophylla,Siberian bugloss,1
Bryophyta,mosses,39
Bryopsida,true mosses,18
Bryum argenteum,Silvery Bryum,3
Buddleja,butterfly bushes and allies,1
Butomus umbellatus,Flowering-rush,1
Buxus,boxes,1
Calamagrostis epigejos,Bushgrass,1
Calendula,marigolds,2
Calendula arvensis,field marigold,2
Caltha palustris,marsh marigold,17
Calystegia,false bindweeds,3
Calystegia sepium,hedge bindweed,9
Calystegia spithamaea,Low False Bindweed,2
Campanula,bellflowers,14
Campanula aparinoides,Marsh Bellflower,1
Campanula persicifolia,Peach-leaved Bellflower,1
Campanula rapunculoides,Creeping Bellflower,55
Campanula rotundifolia,Harebell,4
Campanula trachelium,Nettle-leaved Bellflower,2
Campsis,trumpet vines,2
Campsis radicans,American trumpet vine,8
Cannabaceae,hemp family,1
Caprifoliaceae,honeysuckle family,1
Capsella,Shepherd's-purses,2
Capsella bursa-pastoris,shepherd's-purse,4
Capsicum annuum,chili pepper,1
Caragana arborescens,Siberian peashrub,4
Cardamine,bittercresses,3
Cardamine concatenata,cut-leaved toothwort,7
Cardamine diphylla,Two-leaved Toothwort,4
Cardamine flexuosa,wavy bittercress,1
Cardamine hirsuta,hairy bittercress,2
Cardamine impatiens,narrow-leaved bittercress,6
Cardamine occulta,Nursery bittercress,1
Cardamine pratensis,Cuckooflower,2
Carduinae,,4
Carduus,plumeless thistles,1
Carduus acanthoides,Broad-winged Thistle,2
Carduus crispus,Welted Thistle,1
Carduus nutans,musk thistle,5
Carex,true sedges,36
Carex albursina,White Bear Sedge,4
Carex aurea,Golden Sedge,1
Carex bebbii,Bebb's Sedge,1
Carex blanda,eastern woodland sedge,14
Carex brevior,Shortbeak Sedge,1
Carex cephalophora,oval-headed sedge,2
Carex communis,fibrous-rooted sedge,6
Carex comosa,bristly sedge,1
Carex cristatella,crested sedge,6
Carex deweyana,Dewey's sedge,4
Carex echinata,star sedge,1
Carex gracillima,graceful sedge,2
Carex granularis,meadow sedge,7
Carex grayi,Gray's sedge,2
Carex grisea,Inflated Narrow-leaved Sedge,1
Carex hirtifolia,hairy sedge,2
Carex hystericina,bottlebrush sedge,2
Carex intumescens,bladder sedge,3
Carex laxiculmis,spreading sedge,2
Carex leptonervia,Nerveless Woodland Sedge,5
Carex lupulina,hop sedge,2
Carex lurida,sallow sedge,2
Carex muehlenbergii,Muhlenberg's Sedge,1
Carex pedunculata,long-stalked sedge,4
Carex pensylvanica,Pennsylvania sedge,2
Carex platyphylla,broad-leaved sedge,3
Carex projecta,necklace sedge,1
Carex pseudocyperus,Cyperus Sedge,1
Carex radiata,bracted sedge,1
Carex retrorsa,retrorse sedge,2
Carex rosea,rosy sedge,6
Carex scoparia,pointed broom sedge,1
Carex siccata,dry land sedge,3
Carex sparganioides,bur reed sedge,4
Carex spicata,Spiked Sedge,4
Carex stipata,Awl-fruited Sedge,6
Carex trichocarpa,Hairy-fruit Sedge,1
Carex vulpinoidea,fox sedge,2
Carica,,1
Carpinus,hornbeams,2
Carpinus betulus,European Hornbeam,2
Carpinus caroliniana,American hornbeam,6
Carya cordiformis,bitternut hickory,7
Carya glabra,pignut hickory,1
Carya ovata,shagbark hickory,1
Caryophyllaceae,pink family,3
Castanea sativa,Sweet Chestnut,1
Catalpa,Catalpas,6
Catalpa speciosa,northern catalpa,7
Caulophyllum,,2
Caulophyllum giganteum,early blue cohosh,5
Caulophyllum thalictroides,blue cohosh,2
Ceanothus,,1
Ceanothus americanus,New Jersey tea,3
Celastraceae,staff-vine family,3
Celastrus,bittersweets,2
Celastrus orbiculatus,Oriental bittersweet,15
Celastrus scandens,American bittersweet,14
Celosia argentea,Quail Grass,1
Celtis occidentalis,common hackberry,5
Centaurea,knapweeds,2
Centaurea jacea,Brown Knapweed,3
Centaurea nigra,black knapweed,1
Centaurea stoebe,spotted knapweed,5
Centaurium pulchellum,Lesser Centaury,7
