Scientific,Common,SpeciesVal 
Ribes americanum,American Black Currant,2
Ribes cynosbati,prickly gooseberry,4
Robinia pseudoacacia,black locust,9
Rosa,roses,6
Rosa acicularis,Prickly Wild Rose,2
Rosa blanda,smooth rose,4
Rosa palustris,swamp rose,2
Rosa rugosa,rugosa rose,2
Rosaceae,rose family,1
Rosales,roses, elms, figs, and allies,2
Rosoideae,,3
Rubus,brambles,13
Rubus allegheniensis,American blackberry,11
Rubus flagellaris,Common Dewberry,3
Rubus hispidus,swamp dewberry,1
Rubus idaeus,European raspberry,6
Rubus idaeus melanolasius,,1
Rubus occidentalis,black raspberry,5
Rubus odoratus,purple-flowered raspberry,7
Rubus pubescens,dwarf raspberry,3
Rudbeckia,Rudbeckia sect. Rudbeckia,2
Rudbeckia hirta,black-eyed Susan,9
Rudbeckia laciniata,cutleaf coneflower,3
Rudbeckia triloba,Brown-eyed Susan,1
Rumex acetosella,Sheep's sorrel,2
Rumex britannica,Greater Water Dock,1
Rumex crispus,curled dock,9
Rumex sanguineus,Wood Dock,1
Rumex verticillatus,Swamp Dock,3
Sabulina michauxii,rock sandwort,5
Sagittaria,Arrowheads,3
Sagittaria latifolia,broadleaf arrowhead,5
Salicaceae,willow family,2
Salix,willows,15
Salix × sepulcralis,Weeping Willow,1
Salix alba,white willow,1
Salix bebbiana,bebb's willow,3
Salix discolor,pussy willow,10
Salix eriocephala,Heart-leaved Willow,1
Salix interior,interior sandbar willow,1
Salix nigra,black willow,1
Salix petiolaris,Meadow Willow,1
Sambucus,elders,4
Sambucus canadensis,American black elderberry,4
Sambucus racemosa,red-berried elder,3
Sanguinaria canadensis,bloodroot,12
Sanicula,sanicle,3
Sanicula canadensis,Black Snakeroot,1
Sanicula marilandica,Maryland Black-snakeroot,2
Saponaria,,1
Saponaria officinalis,common soapwort,6
Sarracenia purpurea,purple pitcher plant,10
Scandiceae,,1
Sceptridium dissectum obliquum,bronze fern,1
Sceptridium multifidum,leathery grapefern,1
Schizachyrium scoparium,little bluestem,4
Schoenoplectus tabernaemontani,soft-stemmed bulrush,1
Scilla luciliae,Boissier's Glory-of-the-snow,1
Scirpus,club-rushes and bulrushes,3
Scirpus atrovirens,dark green bulrush,4
Scirpus cyperinus,woolgrass,1
Scirpus pendulus,nodding bulrush,3
Scorzoneroides autumnalis,Autumn Hawkbit,1
Scutellaria galericulata,Marsh Skullcap,3
Scutellaria lateriflora,side-flowering skullcap,3
Scutellaria parvula,small skullcap,2
Securigera varia,purple crownvetch,9
Sedum acre,Biting Stonecrop,4
Selaginella rupestris,rock spikemoss,1
Senecioneae,groundsels and allies,1
Setaria,foxtails and bristlegrasses,1
Setaria pumila,yellow foxtail,1
Setaria viridis,Green Bristle Grass,2
Shepherdia canadensis,Canadian buffalo-berry,1
Silene,Catchflies,4
Silene antirrhina,sleepy catchfly,1
Silene latifolia,white campion,4
Silene noctiflora,Night-flowering Catchfly,1
Silene vulgaris,bladder campion,12
Sisymbrium,,1
Sisyrinchium,blue-eyed grasses,1
Sisyrinchium montanum,strict blue-eyed grass,5
Sium,water parsnips,1
Sium suave,water parsnip,2
Smilax herbacea,smooth carrionflower,3
Smilax tamnoides,bristly greenbrier,1
Solanum,nightshades,2
Solanum dulcamara,bittersweet nightshade,15
Solanum ptychanthum,eastern black nightshade,3
Solidago,goldenrods,18
Solidago altissima,tall goldenrod,2
Solidago canadensis,Canada goldenrod,11
Solidago flexicaulis,broad-leaved goldenrod,4
Solidago gigantea,giant goldenrod,2
Solidago juncea,early goldenrod,4
Solidago nemoralis,field goldenrod,7
Solidago nemoralis nemoralis,Gray Goldenrod,1
Solidago ptarmicoides,white flat-topped goldenrod,4
Solidago rugosa,common wrinkle-leaved goldenrod,3
Solidago squarrosa,squarrose goldenrod,1
Solidago uliginosa,bog goldenrod,4
Solidago virgaurea,European goldenrod,1
Sonchus,sow thistles,1
Sonchus arvensis,Perennial Sow Thistle,2
Sonchus arvensis ss,Field Sowthistle,1
Sonchus asper,prickly sowthistle,1
Sorbaria,,1
Sorbaria sorbifolia,Sorbaria,1
Sorbus,Rowans, Service-trees, and Whitebeams,3
Sorbus americana,American mountain ash,1
Sorbus aucuparia,rowan,4
Sorbus decora,showy mountain-ash,1
Sorghastrum nutans,Indiangrass,1
Sparganium,bur-reeds,3
Sparganium americanum,American bur-reed,3
Sparganium emersum,unbranched bur-reed,1
Sparganium eurycarpum,big bur-reed,3
Sphagnum,Sphagnum mosses,3
Sphagnum magellanicum,Magellan's Peatmoss,1
Sphagnum squarrosum,Crome Sphagnum,1
Spinulum annotinum,interrupted clubmoss,1
Spiraea,meadowsweet,2
Spiraea alba,white meadowsweet,13
Spiraea alba alba,Narrowleaf White Meadowsweet,1
Spiraea douglasii,rose spiraea,1
Spiraea tomentosa,Steeplebush,5
Spiranthes cernua,nodding ladies' tresses,3
Spiranthes magnicamporum,Great Plains Ladies' Tresses,1
Spiranthes romanzoffiana,Hooded Ladies' Tresses,2
Spirodela polyrhiza,greater duckweed,2
Sporobolus neglectus,Small Dropseed,1
Stellaria graminea,lesser stitchwort,3
Streptopus lanceolatus,rose twisted-stalk,1
Stuckenia pectinata,Fennel-leaf Pondweed,1
Symphoricarpos albus,Common Snowberry,4
Symphyotrichum,American asters,17
Symphyotrichum × amethystinum,Amethyst Aster,1
Symphyotrichum boreale,northern bog aster,3
Symphyotrichum ciliolatum,Lindley's Aster,5
Symphyotrichum cordifolium,Common Blue Wood Aster,4
Symphyotrichum dumosum,Bushy Aster,1
Symphyotrichum ericoides,white heath aster,4
Symphyotrichum firmum,shining aster,1
Symphyotrichum laeve,smooth blue aster,4
Symphyotrichum lanceolatum,panicled aster,4
Symphyotrichum lateriflorum,calico aster,9
Symphyotrichum novae-angliae,New England aster,18
Symphyotrichum puniceum,swamp aster,5
Symphyotrichum urophyllum,Arrow-leaved Aster,2
Symphytum officinale,common comfrey,2
Syntrichia ruralis,star moss,3
Syringa vulgaris,common lilac,6
Taraxacum,dandelions,2
Taraxacum officinale,common dandelion,7
Taraxacum palustre,Fen Dandelion,2
Taxus,yews,1
Taxus canadensis,Canadian yew,2
Thalictrum,meadow-rues,6
Thalictrum dioicum,early meadow-rue,5
Thalictrum pubescens,tall meadow-rue,4
Thelypteris palustris,marsh fern,9
Thuja occidentalis,northern whitecedar,19
Thymus serpyllum,wild thyme,1
Tiarella cordifolia,heartleaf foamflower,2
Tilia,Lindens, Basswoods, and Lime Trees,4
Tilia americana,basswood,22
Tilia cordata,Small-leaved Lime,3
Tortella,,1
Toxicodendron,poison ivies and oaks,4
Toxicodendron radicans,poison ivy,5
Toxicodendron rydbergii,western poison ivy,15
Tracheophyta,vascular plants,4
Tragopogon,Salsifies,1
Tragopogon dubius,yellow salsify,11
Tragopogon pratensis,meadow salsify,5
Trichostema brachiatum,False Pennyroyal,4
Trifolieae,,1
Trifolium,clovers,1
Trifolium aureum,large hop clover,1
Trifolium pratense,red clover,14
Trifolium repens,white clover,8
Triglochin maritima,common arrowgrass,1
Triglochin palustris,marsh arrowgrass,2
Trillium,trilliums,1
Trillium cernuum,nodding trillium,1
Trillium erectum,red trillium,8
Trillium grandiflorum,large white trillium,19
Triosteum aurantiacum,Orange-fruited Horse Gentian,1
Triticum aestivum,Bread Wheat,1
Tsuga canadensis,eastern hemlock,5
Turritis glabra,Tower Mustard,8
Tussilago farfara,colt's-foot,8
Typha,bulrushes and cattails,8
Typha angustifolia,narrow-leaved cattail,2
Typha latifolia,broadleaf cattail,5
Typhaceae,bulrushes, cattails, and allies,1
Ulmus,elms,4
Ulmus americana,American elm,7
Ulmus glabra camperdownii,Camperdown elm,1
Ulmus rubra,slippery elm,3
Ulmus thomasii,rock elm,1
Urtica dioica,stinging nettle,2
Utricularia,Bladderworts,1
Utricularia cornuta,Horned Bladderwort,1
Utricularia gibba,humped bladderwort,2
Utricularia intermedia,intermediate bladderwort,3
Utricularia macrorhiza,common bladderwort,2
Uvularia grandiflora,largeflower bellwort,4
Vaccinium,blueberries, cranberries, and allies,1
Vaccinium angustifolium,lowbush blueberry,9
Vaccinium macrocarpon,American Cranberry,3
Vaccinium myrtilloides,velvetleaf blueberry,1
Vaccinium oxycoccos,bog cranberry,2
Valeriana officinalis,common valerian,1
Vallisneria americana,Eel-grass,4
Verbascum,mulleins,4
Verbascum lychnitis,White Mullein,1
Verbascum thapsus,great mullein,23
Verbena,Vervain,2
Verbena hastata,blue vervain,6
Verbena simplex,Narrowleaf Vervain,4
Verbena stricta,hoary vervain,1
Veronica chamaedrys,Germander Speedwell,1
Veronica officinalis,heath speedwell,2
Veronica peregrina,Purslane Speedwell,1
Veronica scutellata,Marsh Speedwell,2
Veronica serpyllifolia,thyme-leaved speedwell,1
Vesicariae,Carex sect. Vesicariae,1
Viburnum,viburnums,7
Viburnum acerifolium,mapleleaf viburnum,4
Viburnum lantana,Wayfaring-tree,3
Viburnum lantanoides,hobblebush,8
Viburnum lentago,nannyberry,8
Viburnum nudum,wild raisin,3
Viburnum nudum cassinoides,Northern Wild Raisin,5
Viburnum opulus,guelder-rose,9
Viburnum opulus opulus,Guelder-rose,2
Viburnum rafinesquianum,downy arrowwood,11
Vicia,Vetches,7
Vicia cracca,tufted vetch,19
Vicia villosa,hairy vetch,1
Vinca minor,lesser periwinkle,1
Vincetoxicum,,4
Vincetoxicum nigrum,Black Swallow-wort,1
Vincetoxicum rossicum,European swallow-wort,14
Viola,violets,4
Viola adunca,hookedspur violet,2
Viola canadensis,Canada violet,3
Viola lanceolata,white bog violet,3
Viola nephrophylla,northern bog violet,2
Viola pubescens,downy yellow violet,5
Viola renifolia,kidneyleaf white violet,1
Viola riviniana,common dog-violet,1
Viola sagittata,arrowleaf violet,2
Viola sororia,common blue violet,2
Vitaceae,grape family,1
Vitis,grapevines,9
Vitis riparia,riverbank grape,17
Woodsia ilvensis,rusty woodsia,1
Zizania palustris,northern wild rice,1
