Scientific,Common,SpeciesVal 
Carex pellita,woolly sedge,2
Carex pensylvanica,Pennsylvania sedge,2
Carex platyphylla,broad-leaved sedge,1
Carex prairea,prairie sedge,2
Carex retrorsa,retrorse sedge,2
Carex richardsonii,Richardson's Sedge,5
Carex rosea,rosy sedge,1
Carex sartwellii,Sartwell's sedge,2
Carex scabrata,eastern rough sedge,1
Carex scoparia,pointed broom sedge,1
Carex siccata,dry land sedge,1
Carex sparganioides,bur reed sedge,2
Carex sprengelii,longbeak sedge,1
Carex stipata,Awl-fruited Sedge,1
Carex tonsa,shaved sedge,1
Carex tonsa rugosperma,Umbel-like Sedge,2
Carex tuckermanii,Tuckerman's sedge,1
Carex utriculata,Northwest Territory sedge,1
Carex vesicaria,inflated sedge,1
Carex vulpinoidea,fox sedge,2
Carpinus caroliniana,American hornbeam,4
Carya cordiformis,bitternut hickory,4
Castilleja coccinea,Scarlet Indian-paintbrush,17
Catalpa speciosa,northern catalpa,4
Caulophyllum,,2
Caulophyllum giganteum,early blue cohosh,1
Caulophyllum thalictroides,blue cohosh,2
Ceanothus americanus,New Jersey tea,1
Ceanothus herbaceus,inland ceanothus,1
Celtis occidentalis,common hackberry,3
Centaurea × moncktonii,Monckton's Knapweed,1
Centaurea jacea,Brown Knapweed,2
Centaurea stoebe,spotted knapweed,1
Cephalanthus occidentalis,buttonbush,5
Cerastium,,2
Cerastium arvense,field chickweed,21
Cerastium arvense arvense,Field Mouse-ear,1
Cerastium fontanum,Common Mouse-ear Chickweed,1
Ceratodon purpureus,Redshank,1
Ceratophyllum demersum,coontail,3
Cercidiphyllum japonicum,katsura tree,1
Cercis,redbuds,1
Cercis canadensis,eastern redbud,1
Chaenorhinum minus,dwarf snapdragon,1
Chamaedaphne calyculata,leatherleaf,8
Chamaenerion,fireweeds,1
Chamaenerion angustifolium,fireweed,3
Chelone glabra,white turtlehead,6
Chenopodium album,Common Lamb's-quarters,3
Chimaphila umbellata,pipsissewa,1
Chlorophyta,green algae,2
Cichorieae,,4
Cichorium,chicories and endives,1
Cichorium intybus,chicory,16
Cicuta bulbifera,bulblet-bearing water hemlock,6
Circaea,enchanter's nightshades,2
Circaea canadensis,broadleaf enchanter's nightshade,6
Cirsium,thistles,3
Cirsium arvense,creeping thistle,6
Cirsium vulgare,bull thistle,6
Cladium mariscoides,smooth saw-sedge,2
Cladrastis kentukea,yellow-wood,1
Claytonia caroliniana,Carolina spring-beauty,2
Clematis,Clematis,1
Clematis virginiana,virgin's-bower,7
Climacium,,2
Clinopodium acinos,basil-thyme,7
Clinopodium vulgare,Wild Basil,7
Clintonia borealis,bluebead lily,7
Comandra umbellata,bastard toadflax,7
Comarum palustre,marsh cinquefoil,5
Comptonia peregrina,sweetfern,7
Convallaria,lilies of the valley,1
Convallaria majalis,European lily of the valley,1
Convolvulaceae,bindweed family,2
Convolvulus arvensis,field bindweed,3
Coptis trifolia,threeleaf goldthread,1
Cornus,dogwoods,13
Cornus alternifolia,alternate-leaved dogwood,7
Cornus amomum,silky dogwood,4
Cornus canadensis,Canadian bunchberry,4
Cornus racemosa,gray dogwood,2
Cornus rugosa,Round-leaved Dogwood,2
Cornus sericea,red osier dogwood,24
Corylus cornuta,beaked hazelnut,8
Cosmos bipinnatus,garden cosmos,1
Crataegus,hawthorns,15
Crataegus crus-galli,cockspur hawthorn,1
Crataegus douglasii,Black Hawthorn,1
Crataegus monogyna,common hawthorn,1
Cucurbita,gourds,1
Cuscuta campestris,Field Dodder,1
Cynoglossum officinale,hound's-tongue,3
Cyperus bipartitus,Shining Flatsedge,1
Cypripedium acaule,pink lady's slipper,3
Cypripedium parviflorum,yellow lady's slipper,7
Cypripedium parviflorum makasin,northern small yellow lady's slipper,1
Cypripedium reginae,showy lady's slipper,7
Cystopteris,fragile ferns,1
Cystopteris bulbifera,bulblet fern,3
Dactylis glomerata,cock's-foot,3
Danthonia spicata,Poverty oatgrass,3
Dasiphora fruticosa,shrubby cinquefoil,10
Daucus,carrots,3
Daucus carota,wild carrot,12
Decodon verticillatus,swamp loosestrife,2
Dendrolycopodium dendroideum,prickly tree-clubmoss,1
Dendrolycopodium hickeyi,Hickey's tree-clubmoss,2
Deschampsia cespitosa,tufted hair grass,4
Desmodieae,,1
Desmodium canadense,showy tick-trefoil,2
Dianthus armeria,deptford pink,4
Diervilla lonicera,northern bush honeysuckle,11
Digitalis ferruginea,Rusty Foxglove,1
Diphasiastrum digitatum,fan clubmoss,1
Dirca palustris,eastern leatherwood,1
Doellingeria umbellata,flat-top white aster,9
Dracocephalum parviflorum,American dragonhead,1
Drosera,Sundews,1
Drosera intermedia,spoonleaf sundew,3
Drosera rotundifolia,round-leaved sundew,11
Drymocallis arguta,Tall Cinquefoil,10
Dryopteris,wood ferns,7
Dryopteris carthusiana,spinulose wood fern,4
Dryopteris cristata,crested wood fern,4
Dryopteris intermedia,intermediate wood fern,3
Dryopteris marginalis,marginal wood fern,5
Dulichium arundinaceum,Three-way Sedge,5
Echinacea purpurea,purple coneflower,2
Echinochloa,Barnyard Grasses,1
Echinochloa crus-galli,barnyardgrass,1
Echinochloa muricata,rough cockspur,1
Echinocystis,,1
Echinocystis lobata,wild cucumber,9
Echium,Viper's-buglosses,1
Echium vulgare,viper's-bugloss,27
Elaeagnus,,2
Elaeagnus umbellata,autumn olive,3
Eleocharis compressa,Flat-stem Spikerush,1
Eleocharis erythropoda,Bald Spikerush,1
Elodea canadensis,common waterweed,3
Elymus,wild ryes and wheat grasses,1
Elymus canadensis,Canada wild rye,2
Elymus repens,Quack Grass,1
Epigaea repens,trailing arbutus,2
Epilobium ciliatum,fringed willowherb,4
Epilobium hirsutum,Great Willowherb,3
Epilobium leptophyllum,Linear-leaf Willowherb,3
Epipactis helleborine,broad-leaved helleborine,7
Equisetum,horsetails,6
Equisetum arvense,field horsetail,10
Equisetum fluviatile,water horsetail,2
Equisetum hyemale,rough horsetail,4
Equisetum pratense,shady horsetail,1
Equisetum scirpoides,dwarf horsetail,4
Equisetum sylvaticum,wood horsetail,4
Equisetum variegatum,variegated horsetail,2
Eranthis hyemalis,Winter Aconite,1
Erigeron,Fleabanes and Horseweeds,13
Erigeron annuus,annual fleabane,3
Erigeron canadensis,horseweed,1
Erigeron philadelphicus,Philadelphia fleabane,5
Erigeron strigosus,daisy fleabane,6
Eriocaulon aquaticum,Common Pipewort,1
Eriophorum,Cottongrass,1
Eriophorum vaginatum,tussock cottongrass,1
Eriophorum virginicum,tawny cotton-grass,3
Erysimum cheiranthoides,wormseed wallflower,1
Erythronium americanum,yellow trout lily,7
Eupatorium perfoliatum,common boneset,5
Euphorbia cyparissias,cypress spurge,3
Euphorbia virgata,leafy spurge,1
Eurybia,wood asters,3
Eurybia macrophylla,large-leaved aster,11
Euthamia graminifolia,flat-topped goldenrod,6
Eutrochium,Joe-Pye weeds,6
Eutrochium maculatum,spotted Joe-Pye weed,10
Eutrochium purpureum,Sweet Joe-Pye-weed,2
Fabaceae,legumes,3
Faboideae,,1
Fagus grandifolia,American beech,9
Fallopia cilinodis,Fringed Bindweed,1
Festuca subverticillata,Nodding Fescue,1
Filipendula vulgaris,Dropwort,1
Forsythia,,1
Fragaria vesca,Wild strawberry,3
Fragaria virginiana,Virginia strawberry,16
Fraxinus,ashes,5
Fraxinus americana,white ash,13
Fraxinus nigra,black ash,7
Fraxinus pennsylvanica,green ash,8
